feature,coef,importance
UreaNitrogen_median,0.0051479991695814,0.0051479991695814
admission_type_DIRECT OBSERVATION,-0.003939923689910095,0.003939923689910095
last_service_ENT,-0.003562824652784713,0.003562824652784713
ed_los_hours,-0.0031488440194239234,0.0031488440194239234
Creatinine_max,0.003079387907447261,0.003079387907447261
admission_location_PROCEDURE SITE,-0.0026183044765583866,0.0026183044765583866
last_service_TSURG,-0.002110514967479229,0.002110514967479229
PlateletCount_max,-0.0011541085643644636,0.0011541085643644636
language_Arabic,-0.0009970499284740581,0.0009970499284740581
Creatinine_median,-0.0007635606573516181,0.0007635606573516181
language_Other,-0.0005248413319309979,0.0005248413319309979
discharge_location_ASSISTED LIVING,-0.00017518734842079633,0.00017518734842079633
language_Modern Greek (1453-),1.0069508315113904e-08,1.0069508315113904e-08
last_service_DENT,0.0,0.0
has_prior_admission,0.0,0.0
language_Hindi,0.0,0.0
language_French,0.0,0.0
language_Armenian,0.0,0.0
language_Bengali,0.0,0.0
language_American Sign Language,0.0,0.0
language_Amharic,0.0,0.0
language_Somali,0.0,0.0
language_Thai,0.0,0.0
admission_type_AMBULATORY OBSERVATION,0.0,0.0
insurance_No charge,0.0,0.0
language_Japanese,0.0,0.0
language_Khmer,0.0,0.0
language_Korean,0.0,0.0
language_Polish,0.0,0.0
admission_location_AMBULATORY SURGERY TRANSFER,0.0,0.0
admission_location_INFORMATION NOT AVAILABLE,0.0,0.0
discharge_location_HEALTHCARE FACILITY,0.0,0.0
